title,author,isbn,copies
Dolls,Suellen Phaup,076704205-0,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4955,""status"":""Available""}]}]"
Marley,Daveen O'Teague,057802071-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5618,""status"":""Available""}]}]"
Revenge of the Nerds III: The Next Generation,Doroteya Pickles,734157666-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9304,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1102,""status"":""Borrowed""},{""copyNumber"":5690,""status"":""Available""},{""copyNumber"":1282,""status"":""Borrowed""},{""copyNumber"":7375,""status"":""Available""},{""copyNumber"":6798,""status"":""Available""}]}]"
After School Special (a.k.a. Barely Legal),Isabelita Townsend,730558644-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8606,""status"":""Borrowed""}]}]"
"Year and a Half in the Life of Metallica, A",Weider Kane,362473778-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4234,""status"":""Available""},{""copyNumber"":9470,""status"":""Borrowed""},{""copyNumber"":3773,""status"":""Borrowed""},{""copyNumber"":9812,""status"":""Borrowed""},{""copyNumber"":6261,""status"":""Available""},{""copyNumber"":3265,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2769,""status"":""Borrowed""}]}]"
Partners,Rolph Stirzaker,224421209-2,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2658,""status"":""Borrowed""},{""copyNumber"":4506,""status"":""Available""},{""copyNumber"":1176,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6222,""status"":""Available""},{""copyNumber"":2981,""status"":""Borrowed""},{""copyNumber"":2717,""status"":""Borrowed""},{""copyNumber"":3927,""status"":""Available""},{""copyNumber"":7493,""status"":""Available""}]}]"
Highlander: The Source,Bendite Tolworthy,073840789-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7842,""status"":""Available""},{""copyNumber"":3829,""status"":""Borrowed""},{""copyNumber"":5602,""status"":""Available""},{""copyNumber"":7730,""status"":""Borrowed""},{""copyNumber"":6296,""status"":""Available""}]}]"
Latitude Zero (Ido zero daisakusen),Curtis Ruffli,721846609-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":7109,""status"":""Available""},{""copyNumber"":1852,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":8039,""status"":""Borrowed""},{""copyNumber"":1192,""status"":""Borrowed""}]}]"
"Insect Woman, The (Nippon konchûki)",Codi Luquet,930072674-9,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3085,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3483,""status"":""Available""}]}]"
Numbskull Emptybrook (Uuno Turhapuro),Robbie Ullrich,461273373-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5709,""status"":""Borrowed""},{""copyNumber"":7658,""status"":""Available""},{""copyNumber"":2575,""status"":""Available""},{""copyNumber"":2724,""status"":""Available""},{""copyNumber"":9338,""status"":""Available""},{""copyNumber"":7407,""status"":""Borrowed""}]}]"
